# Copyright (C) 2019  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 19.4.0 Build 64 12/04/2019 SC Pro Edition
# File: /usr3/graduate/apducimo/ec953sp2020/gitrepos/md_lr_prsm/fpga_impl/altera/md_lr_top/md_lr_top.csv
# Generated on: Sat Jun  6 02:53:49 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
pwdata[35],Input,PIN_BE17,3C,PIN_BE17,1.8 V,,,,,
pwdata[34],Input,PIN_BF15,3A,PIN_BF15,1.8 V,,,,,
pwdata[33],Input,PIN_BG17,3C,PIN_BG17,1.8 V,,,,,
faddr[14],Output,,,PIN_AP21,1.8 V,,,,,
faddr[13],Output,,,PIN_BC18,1.8 V,,,,,
faddr[12],Output,,,PIN_AR21,1.8 V,,,,,
faddr[11],Output,PIN_J33,2N,PIN_J33,1.8 V,,,,,
faddr[10],Output,PIN_H33,2N,PIN_H33,1.8 V,,,,,
faddr[9],Output,PIN_G33,2N,PIN_G33,1.8 V,,,,,
faddr[8],Output,PIN_F34,2N,PIN_F34,1.8 V,,,,,
faddr[7],Output,PIN_E34,2N,PIN_E34,1.8 V,,,,,
faddr[6],Output,PIN_D34,2N,PIN_D34,1.8 V,,,,,
faddr[5],Output,PIN_J34,2N,PIN_J34,1.8 V,,,,,
faddr[4],Output,PIN_H35,2N,PIN_H35,1.8 V,,,,,
faddr[3],Output,PIN_G35,2N,PIN_G35,1.8 V,,,,,
faddr[2],Output,PIN_F35,2N,PIN_F35,1.8 V,,,,,
faddr[1],Output,PIN_D35,2N,PIN_D35,1.8 V,,,,,
faddr[0],Output,PIN_C35,2N,PIN_C35,1.8 V,,,,,
pwdata[32],Input,PIN_BH17,3C,PIN_BH17,1.8 V,,,,,
pwdata[31],Input,PIN_BA14,3A,PIN_BA14,1.8 V,,,,,
pwdata[30],Input,PIN_BB15,3A,PIN_BB15,1.8 V,,,,,
pwdata[29],Input,PIN_BC15,3A,PIN_BC15,1.8 V,,,,,
pwdata[28],Input,PIN_BD14,3A,PIN_BD14,1.8 V,,,,,
pwdata[27],Input,PIN_BE16,3A,PIN_BE16,1.8 V,,,,,
pwdata[26],Input,PIN_BF14,3A,PIN_BF14,1.8 V,,,,,
pwdata[25],Input,PIN_BG15,3A,PIN_BG15,1.8 V,,,,,
pwdata[24],Input,PIN_BH16,3A,PIN_BH16,1.8 V,,,,,
pwdata[23],Input,PIN_BA12,3B,PIN_BA12,1.8 V,,,,,
pwdata[22],Input,PIN_BB14,3A,PIN_BB14,1.8 V,,,,,
pwdata[21],Input,PIN_BC13,3A,PIN_BC13,1.8 V,,,,,
pwdata[20],Input,PIN_BD13,3A,PIN_BD13,1.8 V,,,,,
pwdata[19],Input,PIN_BE14,3A,PIN_BE14,1.8 V,,,,,
pwdata[18],Input,PIN_BF12,3A,PIN_BF12,1.8 V,,,,,
pwdata[17],Input,PIN_BG14,3A,PIN_BG14,1.8 V,,,,,
fdata[95],Output,PIN_J26,2L,PIN_J26,1.8 V,,,,,
fdata[94],Output,PIN_H26,2L,PIN_H26,1.8 V,,,,,
fdata[93],Output,PIN_G25,2L,PIN_G25,1.8 V,,,,,
fdata[92],Output,PIN_F25,2L,PIN_F25,1.8 V,,,,,
